code,plain_name,source
A4220,Refill kit for implantable infusion pump,cms_hcpcs_l2
A4221,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list",cms_hcpcs_l2
A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list",cms_hcpcs_l2
A4223,"Infusion supplies not used with external infusion pump, per cassette or bag",cms_hcpcs_l2
A4224,"Supplies for maintenance of insulin infusion catheter, per week",cms_hcpcs_l2
A4225,"Supplies for external insulin infusion pump, syringe type cartridge, sterile,",cms_hcpcs_l2
A4226,Supplies for maintenance of insulin infusion pump with dosage rate adjustment,cms_hcpcs_l2
A4230,"Infusion set for external insulin pump, non needle cannula type",cms_hcpcs_l2
A4231,"Infusion set for external insulin pump, needle type",cms_hcpcs_l2
A4232,"Syringe with needle for external insulin pump, sterile, 3 cc",cms_hcpcs_l2
A4233,"Replacement battery, alkaline (other than j cell), for use with medically",cms_hcpcs_l2
A4234,"Replacement battery, alkaline, j cell, for use with medically necessary home",cms_hcpcs_l2
A4235,"Replacement battery, lithium, for use with medically necessary home blood",cms_hcpcs_l2
A4236,"Replacement battery, silver oxide, for use with medically necessary home blood",cms_hcpcs_l2
A4238,"Supply allowance for adjunctive, non-implanted continuous glucose monitor",cms_hcpcs_l2
A4239,"Supply allowance for non-adjunctive, non-implanted continuous glucose monitor",cms_hcpcs_l2
A4244,"Alcohol or peroxide, per pint",cms_hcpcs_l2
A4245,"Alcohol wipes, per box",cms_hcpcs_l2
A4246,"Betadine or phisohex solution, per pint",cms_hcpcs_l2
A4247,"Betadine or iodine swabs/wipes, per box",cms_hcpcs_l2
A4248,"Chlorhexidine containing antiseptic, 1 ml",cms_hcpcs_l2
A4250,Urine test or reagent strips or tablets (100 tablets or strips),cms_hcpcs_l2
A4252,"Blood ketone test or reagent strip, each",cms_hcpcs_l2
A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50",cms_hcpcs_l2
A4255,"Platforms for home blood glucose monitor, 50 per box",cms_hcpcs_l2
A4256,"Normal, low and high calibrator solution / chips",cms_hcpcs_l2
A4257,"Replacement lens shield cartridge for use with laser skin piercing device, each",cms_hcpcs_l2
A4258,"Spring-powered device for lancet, each",cms_hcpcs_l2
A4259,"Lancets, per box of 100",cms_hcpcs_l2
A4261,Cervical cap for contraceptive use,cms_hcpcs_l2
A4262,"Temporary, absorbable lacrimal duct implant, each",cms_hcpcs_l2
A4263,"Permanent, long term, non-dissolvable lacrimal duct implant, each",cms_hcpcs_l2
A4264,Permanent implantable contraceptive intratubal occlusion device(s) and delivery,cms_hcpcs_l2
A4265,"Paraffin, per pound",cms_hcpcs_l2
A4266,Diaphragm for contraceptive use,cms_hcpcs_l2
A4267,"Contraceptive supply, condom, male, each",cms_hcpcs_l2
A4268,"Contraceptive supply, condom, female, each",cms_hcpcs_l2
A4269,"Contraceptive supply, spermicide (e.g., foam, gel), each",cms_hcpcs_l2
A4270,"Disposable endoscope sheath, each",cms_hcpcs_l2
A4271,Integrated lancing and blood sample testing cartridges for home blood glucose,cms_hcpcs_l2
A4280,"Adhesive skin support attachment for use with external breast prosthesis, each",cms_hcpcs_l2
A4281,"Tubing for breast pump, replacement",cms_hcpcs_l2
A4282,"Adapter for breast pump, replacement",cms_hcpcs_l2
A4283,"Cap for breast pump bottle, replacement",cms_hcpcs_l2
A4284,"Breast shield and splash protector for use with breast pump, replacement",cms_hcpcs_l2
A4285,"Polycarbonate bottle for use with breast pump, replacement",cms_hcpcs_l2
A4286,"Locking ring for breast pump, replacement",cms_hcpcs_l2
A4287,"Disposable collection and storage bag for breast milk, any size, any type, each",cms_hcpcs_l2
A4290,"Sacral nerve stimulation test lead, each",cms_hcpcs_l2
A4300,"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or",cms_hcpcs_l2
A4301,"Implantable access total catheter, port/reservoir (e.g., venous, arterial,",cms_hcpcs_l2
A4305,"Disposable drug delivery system, flow rate of 50 ml or greater per hour",cms_hcpcs_l2
A4306,"Disposable drug delivery system, flow rate of less than 50 ml per hour",cms_hcpcs_l2
A4310,Insertion tray without drainage bag and without catheter (accessories only),cms_hcpcs_l2
A4311,"Insertion tray without drainage bag with indwelling catheter, foley type,",cms_hcpcs_l2
A4312,"Insertion tray without drainage bag with indwelling catheter, foley type,",cms_hcpcs_l2
A4313,"Insertion tray without drainage bag with indwelling catheter, foley type,",cms_hcpcs_l2
A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way",cms_hcpcs_l2
A4315,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way,",cms_hcpcs_l2
A4316,"Insertion tray with drainage bag with indwelling catheter, foley type,",cms_hcpcs_l2
A4320,"Irrigation tray with bulb or piston syringe, any purpose",cms_hcpcs_l2
A4321,Therapeutic agent for urinary catheter irrigation,cms_hcpcs_l2
A4322,"Irrigation syringe, bulb or piston, each",cms_hcpcs_l2
A4326,"Male external catheter with integral collection chamber, any type, each",cms_hcpcs_l2
A4327,"Female external urinary collection device; meatal cup, each",cms_hcpcs_l2
A4328,"Female external urinary collection device; pouch, each",cms_hcpcs_l2
A4330,"Perianal fecal collection pouch with adhesive, each",cms_hcpcs_l2
A4331,"Extension drainage tubing, any type, any length, with connector/adaptor, for",cms_hcpcs_l2
A4332,"Lubricant, individual sterile packet, each",cms_hcpcs_l2
A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",cms_hcpcs_l2
A4334,"Urinary catheter anchoring device, leg strap, each",cms_hcpcs_l2
A4335,Incontinence supply; miscellaneous,cms_hcpcs_l2
A4336,"Incontinence supply, urethral insert, any type, each",cms_hcpcs_l2
A4337,"Incontinence supply, rectal insert, any type, each",cms_hcpcs_l2
A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone,",cms_hcpcs_l2
A4340,"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each",cms_hcpcs_l2
A4341,"Indwelling intraurethral drainage device with valve, patient inserted,",cms_hcpcs_l2
A4342,Accessories for patient inserted indwelling intraurethral drainage device with,cms_hcpcs_l2
A4344,"Indwelling catheter, foley type, two-way, all silicone or polyurethane, each",cms_hcpcs_l2
A4346,"Indwelling catheter; foley type, three way for continuous irrigation, each",cms_hcpcs_l2
A4349,"Male external catheter, with or without adhesive, disposable, each",cms_hcpcs_l2
A4351,"Intermittent urinary catheter; straight tip, with or without coating (teflon,",cms_hcpcs_l2
A4352,"Intermittent urinary catheter; coude (curved) tip, with or without coating",cms_hcpcs_l2
A4353,"Intermittent urinary catheter, with insertion supplies",cms_hcpcs_l2
A4354,Insertion tray with drainage bag but without catheter,cms_hcpcs_l2
A4355,Irrigation tubing set for continuous bladder irrigation through a three-way,cms_hcpcs_l2
A4356,External urethral clamp or compression device (not to be used for catheter,cms_hcpcs_l2
A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or",cms_hcpcs_l2
A4358,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps,",cms_hcpcs_l2
A4360,"Disposable external urethral clamp or compression device, with pad and/or",cms_hcpcs_l2
A4361,"Ostomy faceplate, each",cms_hcpcs_l2
A4362,"Skin barrier; solid, 4 x 4 or equivalent; each",cms_hcpcs_l2
A4363,"Ostomy clamp, any type, replacement only, each",cms_hcpcs_l2
A4364,"Adhesive, liquid or equal, any type, per oz",cms_hcpcs_l2
A4366,"Ostomy vent, any type, each",cms_hcpcs_l2
A4367,"Ostomy belt, each",cms_hcpcs_l2
A4368,"Ostomy filter, any type, each",cms_hcpcs_l2
A4369,"Ostomy skin barrier, liquid (spray, brush, etc.), per oz",cms_hcpcs_l2
A4371,"Ostomy skin barrier, powder, per oz",cms_hcpcs_l2
A4372,"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in",cms_hcpcs_l2
A4373,"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in",cms_hcpcs_l2
A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each",cms_hcpcs_l2
